Origin ZIP,Origin Neighborhood,Destination ZIP,Destination Neighborhood,Mode,Distance (mi),Duration (min)
11203,"East Flatbush, Erasmus",11225,"Prospect Lefferts Gardens, Wingate",bicycling,2.2,14
11203,"East Flatbush, Erasmus",11226,Flatbush,driving,1.4,8
11203,"East Flatbush, Erasmus",11226,Flatbush,bicycling,1.4,8
11203,"East Flatbush, Erasmus",11228,Dyker Heights,driving,8.8,32
11203,"East Flatbush, Erasmus",11228,Dyker Heights,bicycling,6.9,40
11203,"East Flatbush, Erasmus",11229,"Sheepshead Bay, Madison",driving,4.3,21
11203,"East Flatbush, Erasmus",11229,"Sheepshead Bay, Madison",bicycling,5.0,30
11203,"East Flatbush, Erasmus",11230,Midwood,driving,4.1,23
11203,"East Flatbush, Erasmus",11230,Midwood,bicycling,4.1,25
11203,"East Flatbush, Erasmus",11231,"Carroll Gardens, Red Hook",driving,5.7,28
11203,"East Flatbush, Erasmus",11231,"Carroll Gardens, Red Hook",bicycling,6.0,35
11203,"East Flatbush, Erasmus",11232,"Sunset Park, Industry City",driving,5.6,26
11203,"East Flatbush, Erasmus",11232,"Sunset Park, Industry City",bicycling,5.8,35
11203,"East Flatbush, Erasmus",11233,"Bedford-Stuyvesant, Ocean Hill",driving,2.4,18
11203,"East Flatbush, Erasmus",11233,"Bedford-Stuyvesant, Ocean Hill",bicycling,2.5,17
11203,"East Flatbush, Erasmus",11234,"Marine Park, Mill Basin",driving,6.4,23
11203,"East Flatbush, Erasmus",11234,"Marine Park, Mill Basin",bicycling,6.6,33
11203,"East Flatbush, Erasmus",11235,"Brighton Beach, Manhattan Beach",driving,5.3,25
11203,"East Flatbush, Erasmus",11235,"Brighton Beach, Manhattan Beach",bicycling,5.9,36
11203,"East Flatbush, Erasmus",11236,"Canarsie, Bergen Beach",driving,2.9,18
11203,"East Flatbush, Erasmus",11236,"Canarsie, Bergen Beach",bicycling,2.9,17
11203,"East Flatbush, Erasmus",11238,"Prospect Heights, Clinton Hill",driving,3.8,20
11203,"East Flatbush, Erasmus",11238,"Prospect Heights, Clinton Hill",bicycling,3.6,21
11203,"East Flatbush, Erasmus",11239,Starrett City,driving,3.9,21
11203,"East Flatbush, Erasmus",11239,Starrett City,bicycling,4.1,22
11204,"Bensonhurst, Mapleton",11201,"Brooklyn Heights, DUMBO",driving,11.1,33
11204,"Bensonhurst, Mapleton",11201,"Brooklyn Heights, DUMBO",bicycling,7.3,43
11204,"Bensonhurst, Mapleton",11203,"East Flatbush, Erasmus",driving,4.3,28
11204,"Bensonhurst, Mapleton",11203,"East Flatbush, Erasmus",bicycling,4.3,26
11204,"Bensonhurst, Mapleton",11205,"Fort Greene, Clinton Hill",driving,7.8,35
11204,"Bensonhurst, Mapleton",11205,"Fort Greene, Clinton Hill",bicycling,6.9,40
11204,"Bensonhurst, Mapleton",11206,"Williamsburg, Bushwick",driving,11.5,41
11204,"Bensonhurst, Mapleton",11206,"Williamsburg, Bushwick",bicycling,8.3,49
11204,"Bensonhurst, Mapleton",11207,"East New York, Cypress Hills",driving,12.7,36
11204,"Bensonhurst, Mapleton",11207,"East New York, Cypress Hills",bicycling,6.8,40
11204,"Bensonhurst, Mapleton",11208,"Cypress Hills, East New York",driving,13.7,36
11204,"Bensonhurst, Mapleton",11208,"Cypress Hills, East New York",bicycling,9.0,50
11204,"Bensonhurst, Mapleton",11209,Bay Ridge,driving,3.7,21
11204,"Bensonhurst, Mapleton",11209,Bay Ridge,bicycling,3.5,22
11204,"Bensonhurst, Mapleton",11210,"Flatbush, Midwood",driving,2.8,18
11204,"Bensonhurst, Mapleton",11210,"Flatbush, Midwood",bicycling,2.7,17
11204,"Bensonhurst, Mapleton",11211,Williamsburg,driving,10.0,32
11204,"Bensonhurst, Mapleton",11211,Williamsburg,bicycling,8.0,48
11204,"Bensonhurst, Mapleton",11212,Brownsville,driving,6.4,34
11204,"Bensonhurst, Mapleton",11212,Brownsville,bicycling,6.7,39
11204,"Bensonhurst, Mapleton",11213,Crown Heights,driving,7.1,32
11204,"Bensonhurst, Mapleton",11213,Crown Heights,bicycling,5.9,36
11204,"Bensonhurst, Mapleton",11214,"Bensonhurst, Bath Beach",driving,1.3,10
11204,"Bensonhurst, Mapleton",11214,"Bensonhurst, Bath Beach",bicycling,1.3,7
11204,"Bensonhurst, Mapleton",11215,"Park Slope, Gowanus",driving,4.7,20
11204,"Bensonhurst, Mapleton",11215,"Park Slope, Gowanus",bicycling,4.4,26
11204,"Bensonhurst, Mapleton",11216,"Bedford-Stuyvesant, Crown Heights",driving,7.4,34
11204,"Bensonhurst, Mapleton",11216,"Bedford-Stuyvesant, Crown Heights",bicycling,5.8,36
11204,"Bensonhurst, Mapleton",11217,"Park Slope, Boerum Hill",driving,5.8,26
11204,"Bensonhurst, Mapleton",11217,"Park Slope, Boerum Hill",bicycling,5.8,33
11204,"Bensonhurst, Mapleton",11218,"Windsor Terrace, Kensington",driving,2.4,15
11204,"Bensonhurst, Mapleton",11218,"Windsor Terrace, Kensington",bicycling,2.4,14
11204,"Bensonhurst, Mapleton",11219,Borough Park,driving,1.4,9
11204,"Bensonhurst, Mapleton",11219,Borough Park,bicycling,1.2,9
11204,"Bensonhurst, Mapleton",11220,"Sunset Park, Greenwood",driving,2.4,15
11204,"Bensonhurst, Mapleton",11220,"Sunset Park, Greenwood",bicycling,2.1,15
11204,"Bensonhurst, Mapleton",11221,"Bedford-Stuyvesant, Bushwick",driving,9.3,44
11204,"Bensonhurst, Mapleton",11221,"Bedford-Stuyvesant, Bushwick",bicycling,7.9,47
11204,"Bensonhurst, Mapleton",11222,Greenpoint,driving,11.9,39
11204,"Bensonhurst, Mapleton",11222,Greenpoint,bicycling,9.6,56
11204,"Bensonhurst, Mapleton",11223,"Gravesend, Homecrest",driving,1.8,11
11204,"Bensonhurst, Mapleton",11223,"Gravesend, Homecrest",bicycling,1.6,10
11204,"Bensonhurst, Mapleton",11224,Coney Island,driving,3.7,21
11204,"Bensonhurst, Mapleton",11224,Coney Island,bicycling,4.7,29
11204,"Bensonhurst, Mapleton",11225,"Prospect Lefferts Gardens, Wingate",driving,4.8,27
11204,"Bensonhurst, Mapleton",11225,"Prospect Lefferts Gardens, Wingate",bicycling,4.4,26
